# 226 unresolved DBLP journal names
# Format: best_score | rows | dblp_name

0.00 | 21 | IJCIH
0.00 | 21 | JoSSR
0.00 | 19 | JoSS
0.90 | 18 | Tran. CBR
0.00 | 17 | IJIPSI
0.00 | 16 | IJIIP
0.00 | 16 | IJSSS
0.00 | 15 | IJSCCPS
0.00 | 14 | IJPOP
0.00 | 12 | LILOG-Memo
0.00 | 11 | GTE Laboratories Incorporated
0.00 | 11 | JACIC
0.90 | 8 | ACM SIGMOD Anthology
0.00 | 7 | T. Aspect-Oriented Software Development VI
0.00 | 6 | IJATEM
0.00 | 6 | Schedae Informaticae
0.00 | 5 | Dagstuhl Manifestos
0.00 | 4 | ANSI X3H2
0.00 | 4 | Roars Transactions
0.00 | 4 | Wikipedia
0.00 | 1 | ANSI X2H2
0.00 | 1 | Compulog Newsletter
0.00 | 1 | Kybernetica
0.00 | 1 | Nachr. Dok.
0.00 | 1 | Technical Report
0.00 | 1 | technical Report 248, ETH Zürich, Dept. of Computer Science
0.00 | 1 | The Atlantic Monthly
