# 3193 unresolved booktitles sorted by row frequency
# 309624 unresolved conference rows
# rows	booktitle

223	LION
223	METMBS
223	ReCoSoC
223	RFID-TA
223	TYPES
222	ISICA
222	USAB
221	CBSE
221	CMSB
221	ISECS
221	Modellierung
220	Artificial Evolution
220	Int. Sym. Wikis
219	MOBIWAC
219	SIGCPR
219	VAST
218	Evolutionary Programming
218	IMA Conference on the Mathematics of Surfaces
218	SARA
217	DASIP
217	EWSPT
217	FGCN (2)
217	IFIP Int. Conf. Digital Forensics
217	Spatial Cognition
217	SWWS
216	PRIS
215	AICT/ICIW
215	AMDO
215	IESS
214	C5
214	Stringology
214	WSKS (2)
213	CIbSE
213	ESTImedia
213	FORMATS
213	GI-Fachgespräch über Rechenzentren
213	JCAI
211	BIOINFORMATICS
211	SLIP
211	WISM
211	WSE
210	ICITCS
209	APPIA-GULP-PRODE
209	BASYS
209	FGCN (1)
209	ICCABS
209	MKWI
209	MLSP
209	PACIIA (2)
209	TRI-Ada
208	CDES
208	EMISA
208	MCS
208	WAA
208	WGEC
207	FTRTFT
207	MVHI
207	WebDB
207	WINSYS
206	ALPIT
206	CHARME
206	ICLS (1)
206	SDL Forum
205	EISIC
205	PAKM
205	WEIS
204	ICARA
204	ISVD
204	PECCS
204	SCSS (1)
204	TST
204	WPES
203	ACM DL
203	CSO
203	IPTPS
202	CLIMA
201	Teleteaching
199	DIGITEL
199	PACIIA (1)
199	TPCG
199	WSKS (1)
198	CAAP
197	IESA
197	LISP and Functional Programming
197	Workshop on Membrane Computing
196	ACPR
196	WICON
195	GeoInfo
195	Sicherheit
194	DNIS
194	FGIT
194	ICSIPA
194	PACCS
193	AOSE
193	EIDWT
193	Fachtagung Prozessrechner
193	GbRPR
193	WADT
192	CORES
192	ISR/ROBOTIK
191	ADVIS
191	ESAW
191	GCC Workshops
191	GHTC
190	GCA
190	GCC (1)
190	ICBO
190	MediaEval
189	Multikonferenz Wirtschaftsinformatik
189	RR
188	IBICA
188	ICAS
188	ICHIT (1)
188	ISIPTA
188	NSIP
188	SCSC
187	CSE (4)
187	DESRIST
187	ECCBR
187	EUNICE
187	ICHIT
187	ICHIT (2)
187	ISCSCT (1)
187	WIMS
186	Haifa Verification Conference
185	ICCBSS
185	ISCSCT (2)
184	AIS
184	AUIC
184	BICA
184	ICIMCS
183	TAPSOFT
182	BIOSIG
182	CLA
182	PROPOR
182	VS-GAMES
181	ICICIC (2)
180	BIS (Workshops)
180	EWCBR
180	ICICIC (1)
180	IDMS
180	SEMCCO
179	JIISIC
178	VaMoS
178	WMTE
177	CA
177	HoloMAS
177	ICAIT
177	IGCC
176	DPPI
176	JSAI Workshops
176	MATA
176	NGITS
175	AICI
175	CMMR
